,year,movie name,worldwide box office,domestic box office,international box office
0,1997,Titanic,"2,207,986,545,","659,363,944,","1,548,622,601,"
1,2022,Top Gun: Maverick,"1,143,953,895,","599,453,895,","544,500,000,"
2,2011,Transformers: Dark of the Moon,"1,123,794,079,","352,390,543,","771,403,536,"
3,2014,Transformers: Age of Extinction,"1,104,054,072,","245,439,076,","858,614,996,"
4,2009,Transformers: Revenge of the Fallen,"836,519,699,","402,111,870,","434,407,829,"
5,2007,Shrek the Third,"807,330,936,","322,719,944,","484,610,992,"
6,2018,Mission: Impossibleâ€”Fallout,"787,176,729,","220,159,104,","567,017,625,"
7,2008,Indiana Jones and the Kingdom of the Crystal Skull,"786,635,413,","317,101,119,","469,534,294,"
8,2010,Shrek Forever After,"756,244,673,","238,736,787,","517,507,886,"
9,2012,Madagascar 3: Europe's Most Wanted,"746,921,271,","216,391,482,","530,529,789,"
10,2007,Transformers,"708,272,592,","319,246,193,","389,026,399,"
11,2011,Mission: Impossibleâ€”Ghost Protocol,"694,713,230,","209,397,903,","485,315,327,"
12,2015,Mission: Impossibleâ€”Rogue Nation,"688,858,992,","195,042,377,","493,816,615,"
13,1994,Forrest Gump,"679,838,260,","330,151,138,","349,687,122,"
14,2011,Kung Fu Panda 2,"664,837,547,","165,249,063,","499,588,484,"
15,2014,Interstellar,"651,023,006,","188,017,894,","463,005,112,"
16,2008,Kung Fu Panda,"631,910,531,","215,434,591,","416,475,940,"
17,2010,Iron Man 2,"621,156,389,","312,433,331,","308,723,058,"
18,2005,War of the Worlds,"606,836,535,","234,280,354,","372,556,181,"
19,2017,Transformers: The Last Knight,"602,893,340,","130,168,683,","472,724,657,"
20,2008,Madagascar: Escape 2 Africa,"599,680,774,","180,174,880,","419,505,894,"
21,2008,Iron Man,"585,171,547,","318,604,126,","266,567,421,"
22,2011,Puss in Boots,"554,987,477,","149,260,504,","405,726,973,"
23,2000,Mission: Impossible 2,"549,588,516,","215,409,889,","334,178,627,"
24,2013,World War Z,"531,861,650,","202,706,711,","329,154,939,"
25,1990,Ghost,"517,600,000,","217,631,306,","299,968,694,"
26,2010,How to Train Your Dragon,"494,870,992,","217,581,232,","277,289,760,"
27,2014,Teenage Mutant Ninja Turtles,"485,004,754,","191,204,754,","293,800,000,"
28,1989,Indiana Jones and the Last Crusade,"474,171,806,","197,171,806,","277,000,000,"
29,2013,Star Trek Into Darkness,"467,381,584,","228,778,661,","238,602,923,"
30,2018,Bumblebee,"465,195,589,","127,195,589,","338,000,000,"
31,1996,Mission: Impossible,"457,697,994,","180,981,886,","276,716,108,"
