,year,movie name,worldwide box office,domestic box office,international box office
0,2021,Spider-Man: No Way Home,"1,886,306,016,","804,617,772,","1,081,688,244,"
1,2019,Spider-Man: Far From Home,"1,132,532,832,","390,532,085,","742,000,747,"
2,2012,Skyfall,"1,110,526,981,","304,360,277,","806,166,704,"
3,2017,Jumanji: Welcome to the Jungle,"961,613,199,","404,508,916,","557,104,283,"
4,2007,Spider-Man 3,"894,860,230,","336,530,303,","558,329,927,"
5,2015,Spectre,"879,500,760,","200,074,175,","679,426,585,"
6,2017,Spider-Man: Homecoming,"878,346,440,","334,201,140,","544,145,300,"
7,2018,Venom,"856,081,053,","213,511,408,","642,569,645,"
8,2002,Spider-Man,"821,706,375,","403,706,375,","418,000,000,"
9,2019,Jumanji: The Next Level,"798,332,900,","316,831,246,","481,501,654,"
10,2004,Spider-Man 2,"794,697,557,","373,524,485,","421,173,072,"
11,2006,The Da Vinci Code,"767,820,459,","217,536,138,","550,284,321,"
12,2012,The Amazing Spider-Man,"757,890,267,","262,030,663,","495,859,604,"
13,2009,2012,"757,677,748,","166,112,167,","591,565,581,"
14,2014,The Amazing Spider-Man 2,"708,996,336,","202,853,933,","506,142,403,"
15,2012,Men in Black 3,"654,213,485,","179,020,854,","475,192,631,"
16,2008,Hancock,"624,234,272,","227,946,274,","396,287,998,"
17,2006,Casino Royale,"594,420,283,","167,365,000,","427,055,283,"
18,2008,Quantum of Solace,"591,692,078,","169,368,427,","422,323,651,"
19,1997,Men in Black,"587,790,539,","250,690,539,","337,100,000,"
20,2011,The Smurfs,"563,749,323,","142,614,158,","421,135,165,"
21,2018,Hotel Transylvania 3: Summer Vacation,"527,848,903,","167,500,092,","360,348,811,"
22,2016,Mei Ren Yu,"525,018,479,","3,229,457,","521,789,022,"
23,1991,Terminator 2: Judgment Day,"515,390,883,","203,464,105,","311,926,778,"
24,2021,Venom: Let There be Carnage,"501,600,379,","213,550,366,","288,050,013,"
25,2009,Angels & Demons,"490,875,846,","133,375,846,","357,500,000,"
26,2015,Hotel Transylvania 2,"469,831,205,","169,700,110,","300,131,095,"
27,2002,Men in Black 2,"441,767,803,","190,418,803,","251,349,000,"
28,2020,Bad Boys For Life,"424,536,881,","204,417,855,","220,119,026,"
29,2022,Uncharted,"398,376,593,","147,877,533,","250,499,060,"
30,2012,Hotel Transylvania,"378,223,189,","148,313,048,","229,910,141,"
31,2019,Once Upon a Timeâ€¦in Hollywood,"377,562,039,","142,502,728,","235,059,311,"
32,1998,Godzilla,"376,000,000,","136,314,294,","239,685,706,"
33,2018,Spider-Man: Into The Spider-Verse 3D,"375,516,704,","190,173,195,","185,343,509,"
34,2005,Hitch,"366,784,257,","177,784,257,","189,000,000,"
35,1992,Basic Instinct,"352,700,000,","117,727,224,","234,972,776,"
36,2016,The Angry Birds Movie,"352,327,887,","107,509,366,","244,818,521,"
37,2010,The Karate Kid,"351,774,938,","176,591,618,","175,183,320,"
38,2013,The Smurfs 2,"348,547,523,","71,017,784,","277,529,739,"
39,2018,Peter Rabbit,"346,727,372,","115,234,093,","231,493,279,"
40,2014,22 Jump Street,"331,333,876,","191,719,337,","139,614,539,"
41,1997,Air Force One,"315,268,353,","172,956,409,","142,311,944,"
42,1997,As Good as it Gets,"314,111,923,","148,478,011,","165,633,912,"
43,2016,Resident Evil: The Final Chapter,"314,101,190,","26,844,692,","287,256,498,"
44,2006,The Pursuit of Happyness,"307,311,093,","162,586,036,","144,725,057,"
45,2016,Passengers,"302,239,672,","100,014,699,","202,224,973,"
46,1991,Hook,"300,854,823,","119,654,823,","181,200,000,"
47,1997,My Best Friend's Wedding,"298,923,419,","126,813,153,","172,110,266,"
48,1999,Stuart Little,"298,815,224,","140,015,224,","158,800,000,"
49,1989,Look Who's Talking,"297,100,000,","140,088,813,","157,011,187,"
50,2010,Resident Evil: Afterlife,"295,874,190,","60,128,566,","235,745,624,"
51,1984,Ghostbusters,"295,596,327,","242,604,185,","52,992,142,"
52,2010,Salt,"290,650,494,","118,311,368,","172,339,126,"
53,2013,Elysium,"286,192,091,","93,050,117,","193,141,974,"
54,2010,The Tourist,"278,731,369,","67,631,157,","211,100,212,"
55,2013,Cloudy with a Chance of Meatballs 2,"274,392,649,","119,793,567,","154,599,082,"
56,1996,Jerry Maguire,"273,552,592,","153,952,592,","119,600,000,"
57,2003,Bad Boys II,"273,271,982,","138,540,870,","134,731,112,"
58,2010,Grown Ups,"272,223,000,","162,001,186,","110,221,814,"
59,2002,xXx,"267,200,000,","141,930,000,","125,270,000,"
60,2003,Something's Gotta Give,"266,685,242,","124,685,242,","142,000,000,"
61,1997,The Fifth Element,"263,893,838,","63,570,862,","200,322,976,"
62,1995,Jumanji,"262,758,310,","100,458,310,","162,300,000,"
63,1990,Total Recall,"261,399,830,","119,394,839,","142,004,991,"
64,2000,Charlie's Angels,"259,736,090,","125,305,545,","134,430,545,"
65,2013,American Hustle,"257,858,943,","150,098,456,","107,760,487,"
66,1993,Cliffhanger,"255,000,000,","84,049,211,","170,950,789,"
67,2019,Men in Black: International,"253,020,464,","80,001,807,","173,018,657,"
68,2009,Michael Jackson's This Is It,"252,091,016,","72,091,016,","180,000,000,"
69,2013,After Earth,"251,499,665,","60,522,097,","190,977,568,"
70,2017,Xi You Fu Yao Pian,"248,805,149,","880,346,","247,924,803,"
71,2013,Grown Ups 2,"247,023,808,","133,668,525,","113,355,283,"
