,year,movie name,worldwide box office,domestic box office,international box office
0,2011,Harry Potter and the Deathly Hallows: Part II,"1,328,766,590,","381,193,157,","947,573,433,"
1,2018,Aquaman,"1,143,758,700,","335,061,807,","808,696,893,"
2,2012,The Dark Knight Rises,"1,082,228,107,","448,139,099,","634,089,008,"
3,2019,Joker,"1,072,507,517,","335,451,311,","737,056,206,"
4,2012,The Hobbit: An Unexpected Journey,"1,014,938,545,","303,003,568,","711,934,977,"
5,2008,The Dark Knight,"998,615,789,","533,720,947,","464,894,842,"
6,2001,Harry Potter and the Sorcererâ€™s Stone,"965,054,122,","317,871,467,","647,182,655,"
7,2013,The Hobbit: The Desolation of Smaug,"959,358,436,","258,241,522,","701,116,914,"
8,2010,Harry Potter and the Deathly Hallows: Part I,"952,601,389,","296,131,568,","656,469,821,"
9,2014,The Hobbit: The Battle of the Five Armies,"940,389,558,","255,119,788,","685,269,770,"
10,2007,Harry Potter and the Order of the Phoenix,"939,619,849,","292,137,260,","647,482,589,"
11,2009,Harry Potter and the Half-Blood Prince,"929,411,069,","302,089,278,","627,321,791,"
12,2005,Harry Potter and the Goblet of Fire,"886,746,240,","290,201,752,","596,544,488,"
13,2002,Harry Potter and the Chamber of Secrets,"875,262,553,","262,233,381,","613,029,172,"
14,2016,Batman v Superman: Dawn of Justice,"872,395,091,","330,360,194,","542,034,897,"
15,2017,Wonder Woman,"818,058,221,","412,563,408,","405,494,813,"
16,2016,Fantastic Beasts and Where to Find Them,"811,724,385,","234,037,575,","577,686,810,"
17,2004,Harry Potter and the Prisoner of Azkaban,"789,592,708,","249,757,726,","539,834,982,"
18,2022,The Batman,"768,159,998,","369,345,583,","398,814,415,"
19,2016,Suicide Squad,"745,744,980,","325,100,054,","420,644,926,"
20,2003,The Matrix Reloaded,"738,576,929,","281,553,689,","457,023,240,"
21,2010,Inception,"728,582,465,","292,576,195,","436,006,270,"
22,2017,It,"701,083,042,","328,828,874,","372,254,168,"
23,2013,Gravity,"688,214,291,","274,092,705,","414,121,586,"
24,2013,Man of Steel,"667,999,518,","291,045,518,","376,954,000,"
25,2017,Justice League,"655,945,209,","229,024,295,","426,920,914,"
26,2018,Fantastic Beasts: The Crimes of Grindelwald,"648,455,339,","159,555,901,","488,899,438,"
27,2011,The Hangover Part II,"586,764,305,","254,464,305,","332,300,000,"
28,2007,I am Legend,"585,532,684,","256,393,010,","329,139,674,"
29,2018,Ready Player One,"579,055,653,","137,690,172,","441,365,481,"
30,2017,Kong: Skull Island,"561,072,059,","168,052,812,","393,019,247,"
31,2014,American Sniper,"547,326,372,","350,126,372,","197,200,000,"
32,2018,Tang Ren Jie Tan An 2,"544,068,574,","1,983,984,","542,084,590,"
33,2011,Sherlock Holmes: A Game of Shadows,"535,663,443,","186,848,418,","348,815,025,"
34,2014,Godzilla,"529,076,069,","200,676,069,","328,400,000,"
35,2018,The Meg,"527,370,715,","145,443,742,","381,926,973,"
36,2017,Dunkirk,"518,058,826,","190,068,280,","327,990,546,"
37,2009,Sherlock Holmes,"498,438,212,","209,028,679,","289,409,533,"
38,1996,Twister,"495,700,000,","241,688,385,","254,011,615,"
39,2010,Clash of the Titans,"493,214,888,","163,214,888,","330,000,000,"
40,2004,Troy,"483,152,040,","133,298,577,","349,853,463,"
41,2005,Charlie and the Chocolate Factory,"475,825,484,","206,459,076,","269,366,408,"
42,2019,It: Chapter Two,"469,566,806,","211,593,228,","257,973,578,"
43,2014,The Lego Movie,"468,084,718,","257,784,718,","210,300,000,"
44,2021,Godzilla vs. Kong,"468,064,628,","100,916,094,","367,148,534,"
