,year,movie name,worldwide box office,domestic box office,international box office
0,2019,Avengers: Endgame,"2,797,800,564,","858,373,000,","1,939,427,564,"
1,2015,Star Wars Ep. VII: The Force Awakens,"2,064,615,817,","936,662,225,","1,127,953,592,"
2,2018,Avengers: Infinity War,"2,048,359,754,","678,815,482,","1,369,544,272,"
3,2019,The Lion King,"1,651,023,152,","543,638,043,","1,107,385,109,"
4,2012,The Avengers,"1,515,100,211,","623,357,910,","891,742,301,"
5,2019,Frozen II,"1,445,182,280,","477,373,578,","967,808,702,"
6,2015,Avengers: Age of Ultron,"1,395,316,979,","459,005,868,","936,311,111,"
7,2018,Black Panther,"1,336,494,321,","700,059,566,","636,434,755,"
8,2017,Star Wars Ep. VIII: The Last Jedi,"1,331,635,141,","620,181,382,","711,453,759,"
9,2017,Beauty and the Beast,"1,270,818,066,","504,014,165,","766,803,901,"
10,2013,Frozen,"1,263,623,064,","400,953,009,","862,670,055,"
11,2018,Incredibles 2,"1,242,805,359,","608,581,744,","634,223,615,"
12,2013,Iron Man 3,"1,215,392,272,","408,992,272,","806,400,000,"
13,2016,Captain America: Civil War,"1,151,918,521,","408,084,349,","743,834,172,"
14,2019,Captain Marvel,"1,129,727,388,","426,829,839,","702,897,549,"
15,2019,Toy Story 4,"1,073,080,329,","434,038,008,","639,042,321,"
16,2019,Star Wars: The Rise of Skywalker,"1,072,848,487,","515,202,542,","557,645,945,"
17,2010,Toy Story 3,"1,068,879,522,","415,004,880,","653,874,642,"
18,2006,Pirates of the Caribbean: Dead Manâ€™s Chest,"1,066,179,725,","423,315,812,","642,863,913,"
19,2016,Rogue One: A Star Wars Story,"1,055,135,598,","532,177,324,","522,958,274,"
20,2019,Aladdin,"1,046,649,706,","355,559,216,","691,090,490,"
21,2011,Pirates of the Caribbean: On Stranger Tides,"1,045,713,802,","241,071,802,","804,642,000,"
22,2010,Alice in Wonderland,"1,025,491,110,","334,191,110,","691,300,000,"
23,2016,Finding Dory,"1,025,006,125,","486,295,561,","538,710,564,"
24,2016,Zootopia,"1,004,629,935,","341,268,248,","663,361,687,"
25,1994,The Lion King,"986,214,868,","421,785,283,","564,429,585,"
26,2007,Pirates of the Caribbean: At Worldâ€™s End,"960,996,492,","309,420,425,","651,576,067,"
27,2016,The Jungle Book,"953,554,418,","364,001,123,","589,553,295,"
28,2022,Doctor Strange in the Multiverse of Madness,"947,375,894,","411,065,727,","536,310,167,"
29,2003,Finding Nemo,"936,094,852,","380,529,370,","555,565,482,"
30,2017,Guardians of the Galaxy Vol 2,"869,113,101,","389,813,101,","479,300,000,"
31,2015,Inside Out,"852,830,107,","356,461,711,","496,368,396,"
32,2017,Thor: Ragnarok,"850,482,778,","315,058,289,","535,424,489,"
33,2017,Coco,"797,666,425,","210,460,015,","587,206,410,"
34,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"794,861,794,","172,558,876,","622,302,918,"
35,2014,Guardians of the Galaxy,"770,882,395,","333,714,112,","437,168,283,"
36,2014,Maleficent,"758,536,735,","241,407,328,","517,129,407,"
37,2013,Monsters University,"743,455,810,","268,488,329,","474,967,481,"
38,2009,Up,"731,463,377,","293,004,164,","438,459,213,"
39,2005,The Chronicles of Narnia: The Lion,"720,539,572,","291,710,957,","428,828,615,"
40,2014,Captain America: The Winter Soldier,"714,401,889,","259,746,958,","454,654,931,"
41,2016,Doctor Strange,"676,354,481,","232,641,920,","443,712,561,"
42,1999,The Sixth Sense,"672,806,292,","293,506,292,","379,300,000,"
43,2003,Pirates of the Caribbean: The Curse of the Blac…,"654,310,819,","305,410,819,","348,900,000,"
44,2014,Big Hero 6,"648,415,024,","222,527,828,","425,887,196,"
45,2013,Thor: The Dark World,"644,602,516,","206,362,140,","438,240,376,"
46,2016,Moana,"634,965,560,","248,757,044,","386,208,516,"
47,2004,The Incredibles,"631,441,092,","261,441,092,","370,000,000,"
48,2007,Ratatouille,"626,549,695,","206,445,654,","420,104,041,"
49,2018,Ant-Man and the Wasp,"623,144,660,","216,648,740,","406,495,920,"
50,2010,Tangled,"584,899,819,","200,821,936,","384,077,883,"
51,2001,Monsters,"560,483,719,","290,149,425,","270,334,294,"
52,2011,Cars 2,"560,155,383,","191,450,875,","368,704,508,"
53,2012,Brave,"554,606,532,","237,282,182,","317,324,350,"
54,1998,Armageddon,"554,600,000,","201,578,182,","353,021,818,"
55,2015,Cinderella,"542,351,353,","201,151,353,","341,200,000,"
56,2008,WALL-E,"532,508,025,","223,808,164,","308,699,861,"
57,2018,Ralph Breaks The Internet,"529,290,830,","201,091,711,","328,199,119,"
58,2015,Ant-Man,"518,858,449,","180,202,163,","338,656,286,"
59,1999,Toy Story 2,"511,358,276,","245,852,179,","265,506,097,"
60,1992,Aladdin,"504,050,219,","217,350,219,","286,700,000,"
61,2012,Wreck-It Ralph,"496,511,521,","189,412,677,","307,098,844,"
62,2013,Oz the Great and Powerful,"490,359,051,","234,770,996,","255,588,055,"
63,2019,Maleficent: Mistress of Evil,"489,346,495,","113,929,605,","375,416,890,"
64,2006,Cars,"461,630,558,","244,082,982,","217,547,576,"
65,2007,National Treasure: Book of Secrets,"457,325,804,","219,961,501,","237,364,303,"
66,2001,Pearl Harbor,"449,239,853,","198,539,855,","250,699,998,"
67,1999,Tarzan,"448,191,819,","171,091,819,","277,100,000,"
68,1991,Beauty and the Beast,"438,656,843,","206,333,165,","232,323,678,"
69,1990,Pretty Woman,"432,566,361,","178,406,268,","254,160,093,"
70,2021,Shang-Chi and the Legend of the Ten Rings,"432,243,292,","224,543,292,","207,700,000,"
71,2008,The Chronicles of Narnia: Prince Caspian,"417,341,288,","141,621,490,","275,719,798,"
72,2002,Signs,"408,250,578,","227,969,295,","180,281,283,"
73,2021,Eternals,"402,064,929,","164,870,264,","237,194,665,"
74,2010,Tron: Legacy,"399,866,199,","172,062,763,","227,803,436,"
75,2018,Solo: A Star Wars Story,"393,151,347,","213,767,512,","179,383,835,"
76,2001,Sen to Chihiro no Kamikakushi,"383,885,156,","10,049,886,","373,835,270,"
77,2017,Cars 3,"383,541,369,","152,901,115,","230,640,254,"
78,2021,Black Widow,"379,751,655,","183,651,655,","196,100,000,"
79,1995,Toy Story,"365,270,951,","192,523,233,","172,747,718,"
80,1998,A Bugâ€™s Life,"363,095,319,","162,798,565,","200,296,754,"
81,2000,Dinosaur,"356,148,063,","137,748,063,","218,400,000,"
82,2019,Dumbo,"353,166,307,","114,766,307,","238,400,000,"
83,1988,Who Framed Roger Rabbit?,"351,500,000,","154,112,492,","197,387,508,"
84,2018,Mary Poppins Returns,"348,901,032,","171,958,438,","176,942,594,"
85,1995,Pocahontas,"347,100,000,","141,579,773,","205,520,227,"
86,2007,Enchanted,"340,384,141,","127,706,877,","212,677,264,"
87,2010,Prince of Persia: Sands of Time,"336,359,676,","90,759,676,","245,600,000,"
88,1996,The Rock,"336,069,511,","134,069,511,","202,000,000,"
89,2015,The Good Dinosaur,"333,771,037,","123,087,120,","210,683,917,"
90,2004,National Treasure,"331,323,410,","173,005,002,","158,318,408,"
91,2008,Bolt,"328,015,029,","114,053,579,","213,961,450,"
92,1996,The Hunchback of Notre Dame,"325,500,000,","100,138,851,","225,361,149,"
93,2009,Disneyâ€™s A Christmas Carol,"315,709,697,","137,855,863,","177,853,834,"
94,2022,Thor: Love and Thunder,"315,347,613,","156,347,613,","159,000,000,"
95,2009,The Proposal,"314,709,717,","163,958,031,","150,751,686,"
96,2005,Chicken Little,"310,043,823,","135,386,665,","174,657,158,"
97,1996,Ransom,"308,700,000,","136,492,681,","172,207,319,"
98,1996,101 Dalmatians,"304,200,000,","136,189,294,","168,010,706,"
99,1998,Mulan,"303,500,000","120,620,254","182,879,746"
